Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Lyme Disease,Lassen,2012,Female,0,12115,0,0,30.444,-
Lyme Disease,Lassen,2012,Male,0,21604,0,0,17.074,-
Lyme Disease,Lassen,2013,Total,0,33686,0,0,10.95,-
Lyme Disease,Lassen,2013,Female,0,12104,0,0,30.472,-
Lyme Disease,Lassen,2013,Male,0,21582,0,0,17.091,-
Lyme Disease,Lassen,2014,Total,0,33613,0,0,10.974,-
Lyme Disease,Lassen,2014,Female,0,12089,0,0,30.51,-
Lyme Disease,Lassen,2014,Male,0,21524,0,0,17.137,-
Lyme Disease,Los Angeles,2001,Total,5,9637356,0.052,0.017,0.121,*
Lyme Disease,Los Angeles,2001,Female,2,4880972,0.041,0.005,0.148,*
Lyme Disease,Los Angeles,2001,Male,3,4756384,0.063,0.013,0.184,*
Lyme Disease,Los Angeles,2002,Total,4,9724013,0.041,0.011,0.105,*
Lyme Disease,Los Angeles,2002,Female,2,4925059,0.041,0.005,0.147,*
Lyme Disease,Los Angeles,2002,Male,2,4798953,0.042,0.005,0.151,*
Lyme Disease,Los Angeles,2003,Total,5,9792604,0.051,0.017,0.119,*
Lyme Disease,Los Angeles,2003,Female,3,4960444,0.06,0.012,0.177,*
Lyme Disease,Los Angeles,2003,Male,2,4832160,0.041,0.005,0.15,*
Lyme Disease,Los Angeles,2004,Total,3,9824093,0.031,0.006,0.089,*
Lyme Disease,Los Angeles,2004,Female,2,4977473,0.04,0.005,0.145,*
Lyme Disease,Los Angeles,2004,Male,1,4846619,0.021,0.001,0.115,*
Lyme Disease,Los Angeles,2005,Total,7,9811137,0.071,0.029,0.147,*
Lyme Disease,Los Angeles,2005,Female,3,4971912,0.06,0.012,0.176,*
Lyme Disease,Los Angeles,2005,Male,4,4839224,0.083,0.023,0.212,*
Lyme Disease,Los Angeles,2006,Total,13,9788892,0.133,0.071,0.227,*
Lyme Disease,Los Angeles,2006,Female,6,4961211,0.121,0.044,0.263,*
Lyme Disease,Los Angeles,2006,Male,7,4827681,0.145,0.058,0.299,*
Lyme Disease,Los Angeles,2007,Total,9,9775448,0.092,0.042,0.175,*
Lyme Disease,Los Angeles,2007,Female,5,4955000,0.101,0.033,0.235,*
Lyme Disease,Los Angeles,2007,Male,4,4820448,0.083,0.023,0.212,*
Lyme Disease,Los Angeles,2008,Total,8,9798366,0.082,0.035,0.161,*
Lyme Disease,Los Angeles,2008,Female,3,4966464,0.06,0.012,0.177,*
Lyme Disease,Los Angeles,2008,Male,5,4831902,0.103,0.034,0.241,*
Lyme Disease,Los Angeles,2009,Total,4,9806784,0.041,0.011,0.104,*
Lyme Disease,Los Angeles,2009,Female,2,4969936,0.04,0.005,0.145,*
Lyme Disease,Los Angeles,2009,Male,2,4836848,0.041,0.005,0.149,*
Lyme Disease,Los Angeles,2010,Total,8,9826799,0.081,0.035,0.16,*
Lyme Disease,Los Angeles,2010,Female,3,4982072,0.06,0.012,0.176,*
Lyme Disease,Los Angeles,2010,Male,4,4844727,0.083,0.022,0.211,*
Lyme Disease,Los Angeles,2011,Total,8,9863993,0.081,0.035,0.16,*
Lyme Disease,Los Angeles,2011,Female,3,4999643,0.06,0.012,0.175,*
Lyme Disease,Los Angeles,2011,Male,5,4864351,0.103,0.033,0.24,*
Lyme Disease,Los Angeles,2012,Total,1,9948521,0.01,0,0.056,*
Lyme Disease,Los Angeles,2012,Female,0,5040999,0,0,0.073,-
Lyme Disease,Los Angeles,2012,Male,1,4907522,0.02,0.001,0.114,*
Lyme Disease,Los Angeles,2013,Total,22,10014849,0.22,0.138,0.333, 
Lyme Disease,Los Angeles,2013,Female,9,5073236,0.177,0.081,0.337,*
Lyme Disease,Los Angeles,2013,Male,13,4941613,0.263,0.14,0.45,*
Lyme Disease,Los Angeles,2014,Total,6,10070624,0.06,0.022,0.13,*
Lyme Disease,Los Angeles,2014,Female,3,5099884,0.059,0.012,0.172,*
Lyme Disease,Los Angeles,2014,Male,3,4970740,0.06,0.012,0.176,*
Lyme Disease,Madera,2001,Total,0,126456,0,0,2.917,-
Lyme Disease,Madera,2001,Female,0,65826,0,0,5.604,-
Lyme Disease,Madera,2001,Male,0,60630,0,0,6.084,-
Lyme Disease,Madera,2002,Total,0,128484,0,0,2.871,-
Lyme Disease,Madera,2002,Female,0,66805,0,0,5.522,-
Lyme Disease,Madera,2002,Male,0,61679,0,0,5.981,-
Lyme Disease,Madera,2003,Total,0,132814,0,0,2.777,-
Lyme Disease,Madera,2003,Female,0,68998,0,0,5.346,-
Lyme Disease,Madera,2003,Male,0,63816,0,0,5.78,-
Lyme Disease,Madera,2004,Total,0,136488,0,0,2.703,-
Lyme Disease,Madera,2004,Female,0,70893,0,0,5.203,-
Lyme Disease,Madera,2004,Male,0,65595,0,0,5.624,-
Lyme Disease,Madera,2005,Total,0,139868,0,0,2.637,-
Lyme Disease,Madera,2005,Female,0,72628,0,0,5.079,-
Lyme Disease,Madera,2005,Male,0,67240,0,0,5.486,-
Lyme Disease,Madera,2006,Total,0,143528,0,0,2.57,-
Lyme Disease,Madera,2006,Female,0,74530,0,0,4.949,-
Lyme Disease,Madera,2006,Male,0,68998,0,0,5.346,-
Lyme Disease,Madera,2007,Total,0,146806,0,0,2.513,-
Lyme Disease,Madera,2007,Female,0,76189,0,0,4.842,-
Lyme Disease,Madera,2007,Male,0,70617,0,0,5.224,-
Lyme Disease,Madera,2008,Total,0,149114,0,0,2.474,-
Lyme Disease,Madera,2008,Female,0,77369,0,0,4.768,-
Lyme Disease,Madera,2008,Male,0,71745,0,0,5.142,-
Lyme Disease,Madera,2009,Total,0,150151,0,0,2.457,-
Lyme Disease,Madera,2009,Female,0,77888,0,0,4.736,-
Lyme Disease,Madera,2009,Male,0,72263,0,0,5.105,-
Lyme Disease,Madera,2010,Total,0,151318,0,0,2.438,-
Lyme Disease,Madera,2010,Female,0,78527,0,0,4.697,-
Lyme Disease,Madera,2010,Male,0,72791,0,0,5.068,-
Lyme Disease,Madera,2011,Total,1,152019,0.658,0.017,3.665,*
Lyme Disease,Madera,2011,Female,1,78861,1.268,0.032,7.065,*
Lyme Disease,Madera,2011,Male,0,73158,0,0,5.042,-
Lyme Disease,Madera,2012,Total,0,151242,0,0,2.439,-
Lyme Disease,Madera,2012,Female,0,78409,0,0,4.705,-
Lyme Disease,Madera,2012,Male,0,72833,0,0,5.065,-
Lyme Disease,Madera,2013,Total,0,152857,0,0,2.413,-
Lyme Disease,Madera,2013,Female,0,79248,0,0,4.655,-
Lyme Disease,Madera,2013,Male,0,73609,0,0,5.011,-
Lyme Disease,Madera,2014,Total,0,154278,0,0,2.391,-
Lyme Disease,Madera,2014,Female,0,79988,0,0,4.612,-
Lyme Disease,Madera,2014,Male,0,74290,0,0,4.965,-
Lyme Disease,Marin,2001,Total,1,247731,0.404,0.01,2.249,*
Lyme Disease,Marin,2001,Female,1,125414,0.797,0.02,4.443,*
Lyme Disease,Marin,2001,Male,0,122317,0,0,3.016,-
Lyme Disease,Marin,2002,Total,4,247382,1.617,0.441,4.14,*
Lyme Disease,Marin,2002,Female,2,125308,1.596,0.193,5.765,*
Lyme Disease,Marin,2002,Male,2,122074,1.638,0.198,5.918,*
Lyme Disease,Marin,2003,Total,3,247280,1.213,0.25,3.545,*
Lyme Disease,Marin,2003,Female,2,125259,1.597,0.193,5.768,*
Lyme Disease,Marin,2003,Male,1,122021,0.82,0.021,4.566,*
Lyme Disease,Marin,2004,Total,0,246684,0,0,1.495,-
Lyme Disease,Marin,2004,Female,0,124972,0,0,2.952,-
Lyme Disease,Marin,2004,Male,0,121712,0,0,3.031,-
Lyme Disease,Marin,2005,Total,5,246686,2.027,0.658,4.73,*
Lyme Disease,Marin,2005,Female,2,124976,1.6,0.194,5.781,*
Lyme Disease,Marin,2005,Male,3,121710,2.465,0.508,7.203,*
Lyme Disease,Marin,2006,Total,6,247247,2.427,0.891,5.282,*
Lyme Disease,Marin,2006,Female,4,125234,3.194,0.87,8.178,*
Lyme Disease,Marin,2006,Male,2,122013,1.639,0.199,5.921,*
Lyme Disease,Marin,2007,Total,2,248802,0.804,0.097,2.904,*
Lyme Disease,Marin,2007,Female,1,126059,0.793,0.02,4.42,*
Lyme Disease,Marin,2007,Male,1,122743,0.815,0.021,4.539,*
Lyme Disease,Marin,2008,Total,3,250288,1.199,0.247,3.503,*
Lyme Disease,Marin,2008,Female,2,126841,1.577,0.191,5.696,*
Lyme Disease,Marin,2008,Male,1,123447,0.81,0.021,4.513,*
Lyme Disease,Marin,2009,Total,2,251230,0.796,0.096,2.876,*
Lyme Disease,Marin,2009,Female,0,127284,0,0,2.898,-
Lyme Disease,Marin,2009,Male,2,123946,1.614,0.195,5.829,*
Lyme Disease,Marin,2010,Total,2,252698,0.791,0.096,2.859,*
Lyme Disease,Marin,2010,Female,1,128397,0.779,0.02,4.339,*
Lyme Disease,Marin,2010,Male,1,124301,0.804,0.02,4.482,*
Lyme Disease,Marin,2011,Total,1,254282,0.393,0.01,2.191,*
Lyme Disease,Marin,2011,Female,0,129336,0,0,2.852,-
Lyme Disease,Marin,2011,Male,1,124946,0.8,0.02,4.459,*
Lyme Disease,Marin,2012,Total,3,253892,1.182,0.244,3.453,*
Lyme Disease,Marin,2012,Female,0,128952,0,0,2.861,-
Lyme Disease,Marin,2012,Male,3,124940,2.401,0.495,7.017,*
Lyme Disease,Marin,2013,Total,7,255778,2.737,1.1,5.639,*
Lyme Disease,Marin,2013,Female,4,130130,3.074,0.838,7.87,*
Lyme Disease,Marin,2013,Male,3,125648,2.388,0.492,6.977,*
Lyme Disease,Marin,2014,Total,3,258324,1.161,0.239,3.394,*
Lyme Disease,Marin,2014,Female,2,131733,1.518,0.184,5.484,*
Lyme Disease,Marin,2014,Male,1,126591,0.79,0.02,4.401,*
Lyme Disease,Mariposa,2001,Total,0,17269,0,0,21.359,-
Lyme Disease,Mariposa,2001,Female,0,8462,0,0,43.584,-
Lyme Disease,Mariposa,2001,Male,0,8807,0,0,41.877,-
Lyme Disease,Mariposa,2002,Total,1,17461,5.727,0.145,31.905,*
Lyme Disease,Mariposa,2002,Female,1,8561,11.681,0.296,65.064,*
Lyme Disease,Mariposa,2002,Male,0,8900,0,0,41.439,-
Lyme Disease,Mariposa,2003,Total,0,17764,0,0,20.764,-
Lyme Disease,Mariposa,2003,Female,0,8716,0,0,42.314,-
Lyme Disease,Mariposa,2003,Male,0,9048,0,0,40.762,-
Lyme Disease,Mariposa,2004,Total,1,17872,5.595,0.142,31.171,*
Lyme Disease,Mariposa,2004,Female,0,8791,0,0,41.953,-
Lyme Disease,Mariposa,2004,Male,1,9081,11.012,0.279,61.34,*
Lyme Disease,Mariposa,2005,Total,0,18057,0,0,20.427,-
Lyme Disease,Mariposa,2005,Female,0,8888,0,0,41.495,-
Lyme Disease,Mariposa,2005,Male,0,9169,0,0,40.224,-
Lyme Disease,Mariposa,2006,Total,0,18244,0,0,20.218,-
Lyme Disease,Mariposa,2006,Female,0,8982,0,0,41.061,-
Lyme Disease,Mariposa,2006,Male,0,9262,0,0,39.82,-
Lyme Disease,Mariposa,2007,Total,0,18376,0,0,20.072,-
Lyme Disease,Mariposa,2007,Female,0,9059,0,0,40.712,-
Lyme Disease,Mariposa,2007,Male,0,9317,0,0,39.585,-
Lyme Disease,Mariposa,2008,Total,0,18385,0,0,20.063,-
Lyme Disease,Mariposa,2008,Female,0,9056,0,0,40.726,-
Lyme Disease,Mariposa,2008,Male,0,9329,0,0,39.534,-
Lyme Disease,Mariposa,2009,Total,0,18281,0,0,20.177,-
Lyme Disease,Mariposa,2009,Female,0,9007,0,0,40.947,-
Lyme Disease,Mariposa,2009,Male,0,9274,0,0,39.769,-
Lyme Disease,Mariposa,2010,Total,0,18194,0,0,20.273,-
Lyme Disease,Mariposa,2010,Female,0,8958,0,0,41.171,-
Lyme Disease,Mariposa,2010,Male,0,9236,0,0,39.932,-
Lyme Disease,Mariposa,2011,Total,0,17973,0,0,20.522,-
Lyme Disease,Mariposa,2011,Female,0,8861,0,0,41.622,-
Lyme Disease,Mariposa,2011,Male,0,9112,0,0,40.476,-
Lyme Disease,Mariposa,2012,Total,1,17959,5.568,0.141,31.02,*
Lyme Disease,Mariposa,2012,Female,0,8865,0,0,41.603,-
Lyme Disease,Mariposa,2012,Male,1,9094,10.996,0.278,61.252,*
Lyme Disease,Mariposa,2013,Total,1,17890,5.59,0.142,31.14,*
Lyme Disease,Mariposa,2013,Female,0,8836,0,0,41.74,-
Lyme Disease,Mariposa,2013,Male,1,9054,11.045,0.28,61.522,*
Lyme Disease,Mariposa,2014,Total,2,17864,11.196,1.356,40.437,*
Lyme Disease,Mariposa,2014,Female,2,8832,22.646,2.743,81.777,*
Lyme Disease,Mariposa,2014,Male,0,9032,0,0,40.834,-
Lyme Disease,Mendocino,2001,Total,4,87140,4.59,1.251,11.753,*
Lyme Disease,Mendocino,2001,Female,1,43658,2.291,0.058,12.761,*
Lyme Disease,Mendocino,2001,Male,3,43482,6.899,1.423,20.162,*
Lyme Disease,Mendocino,2002,Total,10,87507,11.428,5.48,21.015,*
Lyme Disease,Mendocino,2002,Female,3,43840,6.843,1.411,19.997,*
Lyme Disease,Mendocino,2002,Male,7,43667,16.03,6.445,33.026,*
Lyme Disease,Mendocino,2003,Total,5,88017,5.681,1.845,13.256,*
Lyme Disease,Mendocino,2003,Female,3,44097,6.803,1.403,19.88,*
Lyme Disease,Mendocino,2003,Male,2,43920,4.554,0.551,16.449,*
Lyme Disease,Mendocino,2004,Total,3,88239,3.4,0.701,9.936,*
Lyme Disease,Mendocino,2004,Female,2,44205,4.524,0.548,16.343,*
Lyme Disease,Mendocino,2004,Male,1,44034,2.271,0.057,12.652,*
Lyme Disease,Mendocino,2005,Total,0,88016,0,0,4.191,-
Lyme Disease,Mendocino,2005,Female,0,44108,0,0,8.363,-
Lyme Disease,Mendocino,2005,Male,0,43908,0,0,8.401,-
Lyme Disease,Mendocino,2006,Total,1,87584,1.142,0.029,6.361,*
Lyme Disease,Mendocino,2006,Female,0,43894,0,0,8.404,-
Lyme Disease,Mendocino,2006,Male,1,43690,2.289,0.058,12.752,*
Lyme Disease,Mendocino,2007,Total,10,87646,11.41,5.471,20.982,*
Lyme Disease,Mendocino,2007,Female,5,43887,11.393,3.699,26.585,*
Lyme Disease,Mendocino,2007,Male,5,43759,11.426,3.71,26.663,*
Lyme Disease,Mendocino,2008,Total,5,87782,5.696,1.849,13.292,*
Lyme Disease,Mendocino,2008,Female,2,43940,4.552,0.551,16.441,*
Lyme Disease,Mendocino,2008,Male,3,43842,6.843,1.411,19.996,*
Lyme Disease,Mendocino,2009,Total,7,87569,7.994,3.214,16.469,*
Lyme Disease,Mendocino,2009,Female,2,43794,4.567,0.553,16.496,*
Lyme Disease,Mendocino,2009,Male,5,43775,11.422,3.709,26.653,*
Lyme Disease,Mendocino,2010,Total,6,87917,6.825,2.505,14.854,*
Lyme Disease,Mendocino,2010,Female,3,43822,6.846,1.412,20.005,*
Lyme Disease,Mendocino,2010,Male,3,44095,6.804,1.403,19.881,*
Lyme Disease,Mendocino,2011,Total,4,88048,4.543,1.238,11.631,*
Lyme Disease,Mendocino,2011,Female,1,43869,2.279,0.058,12.7,*
Lyme Disease,Mendocino,2011,Male,2,44179,4.527,0.548,16.352,*
Lyme Disease,Mendocino,2012,Total,3,88550,3.388,0.699,9.901,*
Lyme Disease,Mendocino,2012,Female,0,44115,0,0,8.362,-
Lyme Disease,Mendocino,2012,Male,3,44435,6.751,1.392,19.729,*
Lyme Disease,Mendocino,2013,Total,1,88281,1.133,0.029,6.311,*
Lyme Disease,Mendocino,2013,Female,1,43958,2.275,0.058,12.674,*
Lyme Disease,Mendocino,2013,Male,0,44323,0,0,8.322,-
Lyme Disease,Mendocino,2014,Total,2,88545,2.259,0.274,8.159,*
Lyme Disease,Mendocino,2014,Female,0,44077,0,0,8.369,-
Lyme Disease,Mendocino,2014,Male,2,44468,4.498,0.545,16.246,*
Lyme Disease,Merced,2001,Total,0,217319,0,0,1.697,-
Lyme Disease,Merced,2001,Female,0,108778,0,0,3.391,-
Lyme Disease,Merced,2001,Male,0,108541,0,0,3.399,-
Lyme Disease,Merced,2002,Total,1,222733,0.449,0.011,2.501,*
Lyme Disease,Merced,2002,Female,1,111411,0.898,0.023,5.001,*
Lyme Disease,Merced,2002,Male,0,111322,0,0,3.314,-
Lyme Disease,Merced,2003,Total,0,229182,0,0,1.61,-
Lyme Disease,Merced,2003,Female,0,114558,0,0,3.22,-
Lyme Disease,Merced,2003,Male,0,114624,0,0,3.218,-
Lyme Disease,Merced,2004,Total,0,235549,0,0,1.566,-
Lyme Disease,Merced,2004,Female,0,117671,0,0,3.135,-
Lyme Disease,Merced,2004,Male,0,117878,0,0,3.129,-
Lyme Disease,Merced,2005,Total,0,240600,0,0,1.533,-
Lyme Disease,Merced,2005,Female,0,120117,0,0,3.071,-
Lyme Disease,Merced,2005,Male,0,120483,0,0,3.062,-
Lyme Disease,Merced,2006,Total,0,245555,0,0,1.502,-
Lyme Disease,Merced,2006,Female,0,122487,0,0,3.012,-
Lyme Disease,Merced,2006,Male,0,123068,0,0,2.997,-
Lyme Disease,Merced,2007,Total,0,249538,0,0,1.478,-
Lyme Disease,Merced,2007,Female,0,124354,0,0,2.966,-
Lyme Disease,Merced,2007,Male,0,125184,0,0,2.947,-
Lyme Disease,Merced,2008,Total,0,251932,0,0,1.464,-
Lyme Disease,Merced,2008,Female,0,125498,0,0,2.939,-
Lyme Disease,Merced,2008,Male,0,126434,0,0,2.918,-
Lyme Disease,Merced,2009,Total,0,254123,0,0,1.452,-
Lyme Disease,Merced,2009,Female,0,126418,0,0,2.918,-
Lyme Disease,Merced,2009,Male,0,127705,0,0,2.889,-
Lyme Disease,Merced,2010,Total,0,255886,0,0,1.442,-
Lyme Disease,Merced,2010,Female,0,127004,0,0,2.904,-
Lyme Disease,Merced,2010,Male,0,128882,0,0,2.862,-
Lyme Disease,Merced,2011,Total,1,259186,0.386,0.01,2.15,*
Lyme Disease,Merced,2011,Female,1,128642,0.777,0.02,4.331,*
Lyme Disease,Merced,2011,Male,0,130544,0,0,2.826,-
Lyme Disease,Merced,2012,Total,0,261002,0,0,1.413,-
Lyme Disease,Merced,2012,Female,0,129535,0,0,2.848,-
Lyme Disease,Merced,2012,Male,0,131467,0,0,2.806,-
Lyme Disease,Merced,2013,Total,0,262336,0,0,1.406,-
Lyme Disease,Merced,2013,Female,0,130194,0,0,2.833,-
Lyme Disease,Merced,2013,Male,0,132142,0,0,2.792,-
Lyme Disease,Merced,2014,Total,0,265069,0,0,1.392,-
Lyme Disease,Merced,2014,Female,0,131577,0,0,2.804,-
Lyme Disease,Merced,2014,Male,0,133492,0,0,2.763,-
Lyme Disease,Modoc,2001,Total,0,9434,0,0,39.094,-
Lyme Disease,Modoc,2001,Female,0,4670,0,0,78.96,-
Lyme Disease,Modoc,2001,Male,0,4764,0,0,77.402,-
Lyme Disease,Modoc,2002,Total,0,9400,0,0,39.236,-
Lyme Disease,Modoc,2002,Female,0,4651,0,0,79.282,-
Lyme Disease,Modoc,2002,Male,0,4749,0,0,77.647,-
Lyme Disease,Modoc,2003,Total,0,9511,0,0,38.778,-
Lyme Disease,Modoc,2003,Female,0,4695,0,0,78.54,-
Lyme Disease,Modoc,2003,Male,0,4816,0,0,76.567,-
Lyme Disease,Modoc,2004,Total,0,9602,0,0,38.41,-
Lyme Disease,Modoc,2004,Female,0,4740,0,0,77.794,-
Lyme Disease,Modoc,2004,Male,0,4862,0,0,75.843,-
Lyme Disease,Modoc,2005,Total,0,9588,0,0,38.467,-
Lyme Disease,Modoc,2005,Female,0,4737,0,0,77.843,-
Lyme Disease,Modoc,2005,Male,0,4851,0,0,76.015,-
Lyme Disease,Modoc,2006,Total,0,9639,0,0,38.263,-
Lyme Disease,Modoc,2006,Female,0,4763,0,0,77.419,-
Lyme Disease,Modoc,2006,Male,0,4876,0,0,75.625,-
Lyme Disease,Modoc,2007,Total,0,9590,0,0,38.458,-
Lyme Disease,Modoc,2007,Female,0,4744,0,0,77.729,-
Lyme Disease,Modoc,2007,Male,0,4846,0,0,76.093,-
Lyme Disease,Modoc,2008,Total,0,9623,0,0,38.327,-
Lyme Disease,Modoc,2008,Female,0,4760,0,0,77.467,-
Lyme Disease,Modoc,2008,Male,0,4863,0,0,75.827,-
Lyme Disease,Modoc,2009,Total,0,9632,0,0,38.291,-
Lyme Disease,Modoc,2009,Female,0,4776,0,0,77.208,-
Lyme Disease,Modoc,2009,Male,0,4856,0,0,75.937,-
Lyme Disease,Modoc,2010,Total,0,9649,0,0,38.223,-
Lyme Disease,Modoc,2010,Female,0,4781,0,0,77.127,-
Lyme Disease,Modoc,2010,Male,0,4868,0,0,75.749,-
Lyme Disease,Modoc,2011,Total,0,9568,0,0,38.547,-
Lyme Disease,Modoc,2011,Female,0,4749,0,0,77.647,-
Lyme Disease,Modoc,2011,Male,0,4819,0,0,76.519,-
Lyme Disease,Modoc,2012,Total,0,9516,0,0,38.758,-
Lyme Disease,Modoc,2012,Female,0,4735,0,0,77.876,-
Lyme Disease,Modoc,2012,Male,0,4781,0,0,77.127,-
Lyme Disease,Modoc,2013,Total,0,9485,0,0,38.884,-
Lyme Disease,Modoc,2013,Female,0,4724,0,0,78.058,-
Lyme Disease,Modoc,2013,Male,0,4761,0,0,77.451,-
Lyme Disease,Modoc,2014,Total,0,9417,0,0,39.165,-
Lyme Disease,Modoc,2014,Female,0,4702,0,0,78.423,-
Lyme Disease,Modoc,2014,Male,0,4715,0,0,78.207,-
Lyme Disease,Mono,2001,Total,0,13213,0,0,27.915,-
Lyme Disease,Mono,2001,Female,0,6031,0,0,61.147,-
Lyme Disease,Mono,2001,Male,0,7182,0,0,51.35,-
Lyme Disease,Mono,2002,Total,0,13383,0,0,27.56,-
Lyme Disease,Mono,2002,Female,0,6130,0,0,60.159,-
Lyme Disease,Mono,2002,Male,0,7253,0,0,50.847,-
Lyme Disease,Mono,2003,Total,3,13574,22.101,4.558,64.575,*
Lyme Disease,Mono,2003,Female,1,6235,16.038,0.406,89.328,*
Lyme Disease,Mono,2003,Male,2,7339,27.253,3.3,98.407,*
Lyme Disease,Mono,2004,Total,1,13726,7.285,0.184,40.585,*
Lyme Disease,Mono,2004,Female,0,6322,0,0,58.333,-
Lyme Disease,Mono,2004,Male,1,7404,13.507,0.342,75.229,*
Lyme Disease,Mono,2005,Total,0,13799,0,0,26.729,-
Lyme Disease,Mono,2005,Female,0,6357,0,0,58.012,-
Lyme Disease,Mono,2005,Male,0,7442,0,0,49.556,-
Lyme Disease,Mono,2006,Total,0,14151,0,0,26.065,-
Lyme Disease,Mono,2006,Female,0,6524,0,0,56.527,-
Lyme Disease,Mono,2006,Male,0,7627,0,0,48.354,-
Lyme Disease,Mono,2007,Total,0,14212,0,0,25.953,-
Lyme Disease,Mono,2007,Female,0,6548,0,0,56.32,-
Lyme Disease,Mono,2007,Male,0,7664,0,0,48.121,-
Lyme Disease,Mono,2008,Total,0,14073,0,0,26.209,-
Lyme Disease,Mono,2008,Female,0,6487,0,0,56.85,-
Lyme Disease,Mono,2008,Male,0,7586,0,0,48.616,-
Lyme Disease,Mono,2009,Total,0,14075,0,0,26.205,-
Lyme Disease,Mono,2009,Female,0,6524,0,0,56.527,-
Lyme Disease,Mono,2009,Male,0,7551,0,0,48.841,-
Lyme Disease,Mono,2010,Total,1,14234,7.025,0.178,39.137,*
Lyme Disease,Mono,2010,Female,0,6698,0,0,55.059,-
Lyme Disease,Mono,2010,Male,1,7536,13.27,0.336,73.911,*
Lyme Disease,Mono,2011,Total,0,14301,0,0,25.791,-
Lyme Disease,Mono,2011,Female,0,6745,0,0,54.676,-
Lyme Disease,Mono,2011,Male,0,7556,0,0,48.809,-
Lyme Disease,Mono,2012,Total,0,14393,0,0,25.626,-
Lyme Disease,Mono,2012,Female,0,6801,0,0,54.226,-
Lyme Disease,Mono,2012,Male,0,7592,0,0,48.577,-
Lyme Disease,Mono,2013,Total,1,14477,6.908,0.175,38.48,*
Lyme Disease,Mono,2013,Female,1,6859,14.58,0.369,81.204,*
Lyme Disease,Mono,2013,Male,0,7618,0,0,48.411,-
Lyme Disease,Mono,2014,Total,0,14560,0,0,25.333,-
Lyme Disease,Mono,2014,Female,0,6912,0,0,53.355,-
Lyme Disease,Mono,2014,Male,0,7648,0,0,48.222,-
Lyme Disease,Monterey,2001,Total,2,406264,0.492,0.06,1.778,*
Lyme Disease,Monterey,2001,Female,1,196311,0.509,0.013,2.838,*
Lyme Disease,Monterey,2001,Male,1,209953,0.476,0.012,2.654,*
Lyme Disease,Monterey,2002,Total,3,408599,0.734,0.151,2.146,*
Lyme Disease,Monterey,2002,Female,1,197739,0.506,0.013,2.818,*
Lyme Disease,Monterey,2002,Male,2,210860,0.948,0.115,3.426,*
Lyme Disease,Monterey,2003,Total,1,411941,0.243,0.006,1.353,*
Lyme Disease,Monterey,2003,Female,0,199426,0,0,1.85,-
Lyme Disease,Monterey,2003,Male,1,212515,0.471,0.012,2.622,*
Lyme Disease,Monterey,2004,Total,1,411121,0.243,0.006,1.355,*
Lyme Disease,Monterey,2004,Female,1,199399,0.502,0.013,2.794,*
Lyme Disease,Monterey,2004,Male,0,211722,0,0,1.742,-
Lyme Disease,Monterey,2005,Total,0,407974,0,0,0.904,-
Lyme Disease,Monterey,2005,Female,0,198136,0,0,1.862,-
Lyme Disease,Monterey,2005,Male,0,209838,0,0,1.758,-
Lyme Disease,Monterey,2006,Total,0,405877,0,0,0.909,-
Lyme Disease,Monterey,2006,Female,0,197244,0,0,1.87,-
Lyme Disease,Monterey,2006,Male,0,208633,0,0,1.768,-
Lyme Disease,Monterey,2007,Total,0,407896,0,0,0.904,-
Lyme Disease,Monterey,2007,Female,0,198192,0,0,1.861,-
Lyme Disease,Monterey,2007,Male,0,209704,0,0,1.759,-
Lyme Disease,Monterey,2008,Total,0,410877,0,0,0.898,-
Lyme Disease,Monterey,2008,Female,0,199794,0,0,1.846,-
Lyme Disease,Monterey,2008,Male,0,211083,0,0,1.748,-
Lyme Disease,Monterey,2009,Total,0,413590,0,0,0.892,-
Lyme Disease,Monterey,2009,Female,0,201138,0,0,1.834,-
Lyme Disease,Monterey,2009,Male,0,212452,0,0,1.736,-
Lyme Disease,Monterey,2010,Total,1,416263,0.24,0.006,1.338,*
Lyme Disease,Monterey,2010,Female,1,202106,0.495,0.013,2.757,*
Lyme Disease,Monterey,2010,Male,0,214157,0,0,1.722,-
Lyme Disease,Monterey,2011,Total,1,419905,0.238,0.006,1.327,*
Lyme Disease,Monterey,2011,Female,1,203882,0.49,0.012,2.733,*
Lyme Disease,Monterey,2011,Male,0,216023,0,0,1.708,-
Lyme Disease,Monterey,2012,Total,1,421465,0.237,0.006,1.322,*
Lyme Disease,Monterey,2012,Female,1,204592,0.489,0.012,2.723,*
Lyme Disease,Monterey,2012,Male,0,216873,0,0,1.701,-
Lyme Disease,Monterey,2013,Total,1,423943,0.236,0.006,1.314,*
Lyme Disease,Monterey,2013,Female,1,205791,0.486,0.012,2.707,*
Lyme Disease,Monterey,2013,Male,0,218152,0,0,1.691,-
Lyme Disease,Monterey,2014,Total,0,425365,0,0,0.867,-
Lyme Disease,Monterey,2014,Female,0,206477,0,0,1.787,-
Lyme Disease,Monterey,2014,Male,0,218888,0,0,1.685,-
Lyme Disease,Napa,2001,Total,1,126188,0.792,0.02,4.415,*
Lyme Disease,Napa,2001,Female,0,63209,0,0,5.836,-
Lyme Disease,Napa,2001,Male,0,62979,0,0,5.857,-
Lyme Disease,Napa,2002,Total,1,127942,0.782,0.02,4.355,*
Lyme Disease,Napa,2002,Female,0,64104,0,0,5.754,-
